class,pinned_value,result,edges,nodes_note
0,0,UNSAT,0,0s
0,1,SAT,0,52s
1,0,SAT,25,62s
1,1,SAT,25,0s
2,0,SAT,20,0s
2,1,SAT,20,64s
3,0,SAT,45,57s
3,1,UNSAT,45,0s
4,0,SAT,10,0s
4,1,SAT,10,60s
5,0,SAT,35,60s
5,1,SAT,35,0s
6,0,SAT,10,0s
6,1,SAT,10,59s
7,0,SAT,35,58s
7,1,SAT,35,74s
8,0,SAT,36,63s
8,1,SAT,36,0s
9,0,SAT,9,0s
9,1,SAT,9,55s
10,0,SAT,18,13s
10,1,SAT,18,11s
11,0,SAT,27,48s
11,1,SAT,27,2s
12,0,SAT,27,52s
12,1,SAT,27,6s
13,0,SAT,9,6s
13,1,SAT,9,53s
14,0,SAT,36,51s
14,1,SAT,36,11s
15,0,SAT,18,6s
15,1,SAT,18,52s
16,0,SAT,9,0s
16,1,SAT,9,51s
17,0,SAT,18,12s
17,1,SAT,18,11s
18,0,SAT,18,9s
18,1,SAT,18,22s
19,0,SAT,27,51s
19,1,SAT,27,34s
20,0,SAT,18,22s
20,1,SAT,18,31s
21,0,SAT,27,51s
21,1,SAT,27,4s
22,0,SAT,27,48s
22,1,SAT,27,6s
23,0,SAT,36,53s
23,1,SAT,36,0s
24,0,SAT,40,54s
24,1,UNSAT,40,0s
25,0,UNSAT,5,0s
25,1,SAT,5,58s
26,0,SAT,20,2s
26,1,SAT,20,127s
27,0,SAT,25,126s
27,1,SAT,25,2s
28,0,SAT,20,20s
28,1,SAT,20,4s
29,0,SAT,25,18s
29,1,SAT,25,8s
30,0,SAT,30,13s
30,1,SAT,30,0s
31,0,SAT,15,0s
31,1,SAT,15,13s
32,0,SAT,5,0s
32,1,SAT,5,55s
33,0,SAT,30,56s
33,1,SAT,30,0s
34,0,SAT,15,0s
34,1,SAT,15,57s
35,0,SAT,40,56s
35,1,SAT,40,0s
36,0,UNSAT,10,0s
36,1,SAT,10,64s
37,0,SAT,20,28s
37,1,SAT,20,0s
38,0,SAT,30,14s
38,1,SAT,30,3s
39,0,SAT,30,61s
39,1,SAT,30,0s
40,0,SAT,15,0s
40,1,SAT,15,112s
41,0,SAT,15,3s
41,1,SAT,15,3s
42,0,SAT,25,15s
42,1,SAT,25,28s
43,0,SAT,35,64s
43,1,UNSAT,35,0s
44,0,SAT,20,13s
44,1,SAT,20,45s
45,0,SAT,30,57s
45,1,SAT,30,444s
46,0,UNSAT,5,0s
46,1,SAT,5,57s
47,0,SAT,15,21s
47,1,SAT,15,35s
48,0,UNSAT,6,0s
48,1,SAT,6,57s
49,0,SAT,16,0s
49,1,SAT,16,57s
50,0,SAT,26,38s
50,1,SAT,26,20s
