n,C(n2),mu_bound,density,parts,certified_K,partcap,certified,fallback,witness
6,15,6,0.400000,1,2,1,1,0,p=3 q=2: 2x3
10,45,20,0.444444,1,2,1,1,0,p=5 q=2: 2x5
12,66,18,0.272727,1,2,1,1,0,p=2 q=3: 3x4
14,91,42,0.461538,1,2,1,1,0,p=7 q=2: 2x7
15,105,30,0.285714,1,2,1,1,0,p=5 q=3: 3x5
18,153,72,0.470588,1,2,1,1,0,p=3 q=2: 2x9
20,190,40,0.210526,1,3,2,1,0,p=5 q=2: 4x5
21,210,63,0.300000,1,2,1,1,0,p=7 q=3: 3x7
22,231,110,0.476190,1,2,1,1,0,p=11 q=2: 2x11
24,276,84,0.304348,1,2,1,1,0,p=2 q=3: 3x8
26,325,156,0.480000,1,2,1,1,0,p=13 q=2: 2x13
28,378,84,0.222222,1,3,2,1,0,p=7 q=2: 4x7
30,435,78,0.179310,2,3,2,1,0,p=13 q=2: 1x17* + 1x13   (* foreign)
33,528,165,0.312500,1,2,1,1,0,p=11 q=3: 3x11
34,561,272,0.484848,1,2,1,1,0,p=17 q=2: 2x17
35,595,120,0.201681,2,3,2,1,0,p=2 q=3: 1x19* + 1x16   (* foreign)
36,630,144,0.228571,1,3,2,1,0,p=3 q=2: 4x9
38,703,342,0.486486,1,2,1,1,0,p=19 q=2: 2x19
39,741,234,0.315789,1,2,1,1,0,p=13 q=3: 3x13
40,780,140,0.179487,1,3,2,1,0,p=2 q=5: 5x8
42,861,171,0.198606,2,3,2,1,0,p=19 q=11: 1x23* + 1x19   (* foreign)
44,946,220,0.232558,1,3,2,1,0,p=11 q=2: 4x11
45,990,180,0.181818,1,3,2,1,0,p=3 q=5: 5x9
46,1035,506,0.488889,1,2,1,1,0,p=23 q=2: 2x23
48,1128,360,0.319149,1,2,1,1,0,p=2 q=3: 3x16
50,1225,600,0.489796,1,2,1,1,0,p=5 q=2: 2x25
51,1275,408,0.320000,1,2,1,1,0,p=17 q=3: 3x17
52,1326,312,0.235294,1,3,2,1,0,p=13 q=2: 4x13
54,1431,702,0.490566,1,2,1,1,0,p=3 q=2: 2x27
55,1485,275,0.185185,1,3,2,1,0,p=11 q=5: 5x11
56,1540,203,0.131818,2,3,2,1,0,p=3 q=7: 1x29* + 1x27   (* foreign)
57,1596,513,0.321429,1,2,1,1,0,p=19 q=3: 3x19
58,1653,812,0.491228,1,2,1,1,0,p=29 q=2: 2x29
60,1770,253,0.142938,2,3,2,1,0,p=23 q=3: 1x37* + 1x23   (* foreign)
62,1891,930,0.491803,1,2,1,1,0,p=31 q=2: 2x31
63,1953,252,0.129032,1,3,2,1,0,p=3 q=7: 7x9
65,2080,390,0.187500,1,3,2,1,0,p=13 q=5: 5x13
66,2145,333,0.155245,2,3,2,1,0,p=29 q=3: 1x37* + 1x29   (* foreign)
68,2278,544,0.238806,1,3,2,1,0,p=17 q=2: 4x17
69,2346,759,0.323529,1,2,1,1,0,p=23 q=3: 3x23
70,2415,301,0.124638,2,3,2,1,0,p=3 q=7: 1x43* + 1x27   (* foreign)
72,2556,301,0.117762,2,3,2,1,0,p=29 q=7: 1x43* + 1x29   (* foreign)
74,2701,1332,0.493151,1,2,1,1,0,p=37 q=2: 2x37
75,2775,900,0.324324,1,2,1,1,0,p=5 q=3: 3x25
76,2850,684,0.240000,1,3,2,1,0,p=19 q=2: 4x19
77,2926,385,0.131579,1,3,2,1,0,p=11 q=7: 7x11
78,3003,465,0.154845,2,3,2,1,0,p=31 q=23: 1x47* + 1x31   (* foreign)
80,3160,600,0.189873,1,3,2,1,0,p=2 q=5: 5x16
82,3321,1640,0.493827,1,2,1,1,0,p=41 q=2: 2x41
84,3486,666,0.191050,2,3,2,1,0,p=37 q=23: 1x47* + 1x37   (* foreign)
85,3570,680,0.190476,1,3,2,1,0,p=17 q=5: 5x17
86,3655,1806,0.494118,1,2,1,1,0,p=43 q=2: 2x43
87,3741,1218,0.325581,1,2,1,1,0,p=29 q=3: 3x29
88,3828,820,0.214211,2,3,2,1,0,p=41 q=23: 1x47* + 1x41   (* foreign)
